Codigo,Referencia,Ticker_YF
ABEV3,2014-01-02,ABEV3.SA
AEDU3,2014-01-02,AEDU3.SA
ALLL3,2014-01-02,ALLL3.SA
BBAS3,2014-01-02,BBAS3.SA
BBDC3,2014-01-02,BBDC3.SA
BBDC4,2014-01-02,BBDC4.SA
BISA3,2014-01-02,BISA3.SA
BRAP4,2014-01-02,BRAP4.SA
BRFS3,2014-01-02,BRFS3.SA
BRKM5,2014-01-02,BRKM5.SA
BRML3,2014-01-02,BRML3.SA
BRPR3,2014-01-02,BRPR3.SA
BTOW3,2014-01-02,BTOW3.SA
BVMF3,2014-01-02,BVMF3.SA
CCRO3,2014-01-02,CCRO3.SA
CESP6,2014-01-02,CESP6.SA
CIEL3,2014-01-02,CIEL3.SA
CMIG4,2014-01-02,CMIG4.SA
CPFE3,2014-01-02,CPFE3.SA
CPLE6,2014-01-02,CPLE6.SA
CRUZ3,2014-01-02,CRUZ3.SA
CSAN3,2014-01-02,CSAN3.SA
CSNA3,2014-01-02,CSNA3.SA
CTIP3,2014-01-02,CTIP3.SA
CYRE3,2014-01-02,CYRE3.SA
DASA3,2014-01-02,DASA3.SA
DTEX3,2014-01-02,DTEX3.SA
ELET3,2014-01-02,ELET3.SA
ELET6,2014-01-02,ELET6.SA
ELPL4,2014-01-02,ELPL4.SA
EMBR3,2014-01-02,EMBR3.SA
ENBR3,2014-01-02,ENBR3.SA
FIBR3,2014-01-02,FIBR3.SA
GFSA3,2014-01-02,GFSA3.SA
GGBR4,2014-01-02,GGBR4.SA
GOAU4,2014-01-02,GOAU4.SA
GOLL4,2014-01-02,GOLL4.SA
HGTX3,2014-01-02,HGTX3.SA
HYPE3,2014-01-02,HYPE3.SA
ITSA4,2014-01-02,ITSA4.SA
ITUB4,2014-01-02,ITUB4.SA
JBSS3,2014-01-02,JBSS3.SA
KLBN4,2014-01-02,KLBN4.SA
KROT3,2014-01-02,KROT3.SA
LAME4,2014-01-02,LAME4.SA
LIGT3,2014-01-02,LIGT3.SA
LLXL3,2014-01-02,LLXL3.SA
LREN3,2014-01-02,LREN3.SA
MMXM3,2014-01-02,MMXM3.SA
MRFG3,2014-01-02,MRFG3.SA
MRVE3,2014-01-02,MRVE3.SA
NATU3,2014-01-02,NATU3.SA
OIBR3,2014-01-02,OIBR3.SA
OIBR4,2014-01-02,OIBR4.SA
PCAR4,2014-01-02,PCAR4.SA
PDGR3,2014-01-02,PDGR3.SA
PETR3,2014-01-02,PETR3.SA
PETR4,2014-01-02,PETR4.SA
RENT3,2014-01-02,RENT3.SA
RSID3,2014-01-02,RSID3.SA
SANB11,2014-01-02,SANB11.SA
SBSP3,2014-01-02,SBSP3.SA
SUZB5,2014-01-02,SUZB5.SA
TIMP3,2014-01-02,TIMP3.SA
TRPL4,2014-01-02,TRPL4.SA
UGPA3,2014-01-02,UGPA3.SA
USIM3,2014-01-02,USIM3.SA
USIM5,2014-01-02,USIM5.SA
VAGR3,2014-01-02,VAGR3.SA
VALE3,2014-01-02,VALE3.SA
VALE5,2014-01-02,VALE5.SA
VIVT4,2014-01-02,VIVT4.SA
ITUB4,2014-05-16,ITUB4.SA
PETR4,2014-05-16,PETR4.SA
BBDC4,2014-05-16,BBDC4.SA
ABEV3,2014-05-16,ABEV3.SA
VALE5,2014-05-16,VALE5.SA
PETR3,2014-05-16,PETR3.SA
VALE3,2014-05-16,VALE3.SA
BRFS3,2014-05-16,BRFS3.SA
ITSA4,2014-05-16,ITSA4.SA
CIEL3,2014-05-16,CIEL3.SA
BVMF3,2014-05-16,BVMF3.SA
BBAS3,2014-05-16,BBAS3.SA
BBSE3,2014-05-16,BBSE3.SA
UGPA3,2014-05-16,UGPA3.SA
