Data,Capital
2021-01-01,106654.28407392149
2021-02-01,109195.50826713018
2021-03-01,118954.67581746723
2021-04-01,123259.14204993994
2021-05-01,125448.5231864792
2021-06-01,118124.30936836163
2021-07-01,115287.81508892457
2021-08-01,118176.62141809324
2021-09-01,113792.35010207402
2021-10-01,114265.32523075613
2021-11-01,113971.40183745023
2021-12-01,122722.30094243199
2022-01-01,125738.88093683298
2022-02-01,127096.36919668777
2022-03-01,135058.59882386116
2022-04-01,129985.48723773324
2022-05-01,130270.18364237057
2022-06-01,119718.9893951453
2022-07-01,121069.20216878827
2022-08-01,123452.67499528569
2022-09-01,118682.75133324125
2022-10-01,123342.41502739387
2022-11-01,114797.86076432804
2022-12-01,115019.11965575225
2023-01-01,123005.66720217394
2023-02-01,118047.90800062387
2023-03-01,120050.5353982725
2023-04-01,123969.19336252246
2023-05-01,130244.383773907
2023-06-01,136801.81556992597
2023-07-01,137468.41930066908
2023-08-01,135294.60785708448
2023-09-01,135409.58941786602
2023-10-01,132222.89583773227
2023-11-01,142724.18586962536
2023-12-01,146460.6681005926
2024-01-01,139695.18282403602
2024-02-01,142178.07446575066
2024-03-01,143969.4406885703
2024-04-01,139252.7349156015
2024-05-01,131745.1433408694
2024-06-01,138501.4852528128
2024-07-01,141217.8004639087
2024-08-01,146398.29466042516
2024-09-01,146280.71463708504
2024-10-01,141289.13800927394
2024-11-01,143699.18750132524
