Data,Capital
2014-01-01,100000.0
2014-02-01,101378.17245412644
2014-03-01,105007.45972982846
2014-04-01,109045.51908232245
2014-05-01,110600.05998006345
2014-06-01,110638.35529951422
2014-07-01,112239.97800651105
2014-08-01,116724.32213214
2014-09-01,116825.28994586166
2014-10-01,116771.86496970427
2014-11-01,116261.63246451455
2014-12-01,119566.02649471536
2015-01-01,119544.67026876778
2015-02-01,119733.31361555043
2015-03-01,119391.20637197015
2015-04-01,122982.21663505305
2015-05-01,122685.67116687681
2015-06-01,122323.50110411868
2015-07-01,121199.7117422735
2015-08-01,120419.74465695105
2015-09-01,120934.92286821902
2015-10-01,119358.20224061047
2015-11-01,118816.67871998483
2015-12-01,118685.73374411117
2016-01-01,117974.30979795584
2016-02-01,118675.71850018663
2016-03-01,117456.13002228292
2016-04-01,118233.603948178
2016-05-01,118224.8814865229
2016-06-01,117727.41661340528
2016-07-01,118186.53026350579
2016-08-01,118265.15433173426
2016-09-01,118324.51465021697
2016-10-01,117786.16841447374
2016-11-01,116885.538056931
2016-12-01,117336.04265789813
2017-01-01,117773.24240014268
2017-02-01,117816.13189300502
2017-03-01,117982.69642269157
2017-04-01,118765.56802470674
2017-05-01,118933.97707357278
2017-06-01,119240.5240120214
2017-07-01,119566.11513245772
2017-08-01,119753.73341060297
2017-09-01,120479.88406465205
2017-10-01,120589.81871037632
2017-11-01,110569.73092550102
2017-12-01,117014.57878539446
2018-01-01,127670.76620401772
2018-02-01,129250.80438635728
2018-03-01,149750.62245170271
2018-04-01,158375.78646024066
2018-05-01,149371.8340732606
2018-06-01,144750.33321772114
2018-07-01,149078.8567715576
2018-08-01,150745.2223070759
2018-09-01,147431.52728047207
2018-10-01,147066.98199577644
2018-11-01,150037.11447830353
2018-12-01,148392.5392580324
2019-01-01,160819.53851765243
2019-02-01,157987.46680733128
2019-03-01,158185.48876317142
2019-04-01,162249.4164627986
2019-05-01,157319.5325749921
2019-06-01,162266.67937946774
2019-07-01,169249.83194013627
2019-08-01,165266.2806244063
2019-09-01,175677.4696693362
2019-10-01,176006.39712428037
2019-11-01,188387.91984028099
2019-12-01,203034.178406002
2020-01-01,202495.34504173562
2020-02-01,202683.91672400833
2020-03-01,169766.78298122846
2020-04-01,177581.0510613652
2020-05-01,180797.629523475
2020-06-01,181564.99461594573
2020-07-01,191699.0492306884
2020-08-01,188345.65988389886
2020-09-01,177394.17542910768
2020-10-01,173634.59030227346
2020-11-01,189484.391025207
2020-12-01,197486.07321964012
