Data,Capital
2014-01-01,100000.0
2014-02-01,100000.0
2014-03-01,106535.30500800518
2014-04-01,109592.86533341694
2014-05-01,112883.2831209628
2014-06-01,118650.1352415717
2014-07-01,128865.93856782244
2014-08-01,134818.0017779081
2014-09-01,126839.84051482029
2014-10-01,132655.219493823
2014-11-01,132258.96886216843
2014-12-01,133020.0197084961
2015-01-01,139652.09184092694
2015-02-01,138473.07588890893
2015-03-01,146535.03080411357
2015-04-01,144513.6126733905
2015-05-01,143154.53262725493
2015-06-01,143286.81907474008
2015-07-01,136962.6911917924
2015-08-01,154003.41758837257
2015-09-01,163885.97735131558
2015-10-01,175130.596767939
2015-11-01,168537.8421769483
2015-12-01,172223.25625599455
2016-01-01,253742.2679925435
2016-02-01,308011.35329829634
2016-03-01,330860.87170231325
2016-04-01,288111.9677017608
2016-05-01,270783.26945516735
2016-06-01,348086.5453779927
2016-07-01,377165.83679548634
2016-08-01,421619.7102893352
2016-09-01,418413.240967782
2016-10-01,395639.9653432391
2016-11-01,379774.21971618326
2016-12-01,372604.10592207906
2017-01-01,446842.21194637043
2017-02-01,448217.7165265203
2017-03-01,423822.0131206516
2017-04-01,406551.4169169523
2017-05-01,367928.0998485396
2017-06-01,361129.14333517133
2017-07-01,400893.83539731975
2017-08-01,447388.8271168189
2017-09-01,455223.4859812321
2017-10-01,438529.9564143836
2017-11-01,433226.16946979787
2017-12-01,495526.56582886644
2018-01-01,527171.203737871
2018-02-01,523402.1029491795
2018-03-01,512612.2606077987
2018-04-01,485350.9654263921
2018-05-01,432763.07093270734
2018-06-01,431595.1189330967
2018-07-01,389756.48621263995
2018-08-01,389168.8896218599
2018-09-01,419381.86295419035
2018-10-01,450334.37296189996
2018-11-01,461794.8624823771
2018-12-01,492350.30726083607
2019-01-01,518619.2280924971
2019-02-01,532596.4127831161
2019-03-01,534969.4827287951
2019-04-01,524999.309012681
2019-05-01,569862.0397823878
2019-06-01,605732.5747058963
2019-07-01,606136.7326818829
2019-08-01,620448.4504372296
2019-09-01,620084.5993560466
2019-10-01,660370.0828898419
2019-11-01,782513.8973150509
2019-12-01,873708.9902380962
2020-01-01,858218.6311992682
2020-02-01,517884.27416887216
2020-03-01,399052.3767309992
2020-04-01,520322.44458344806
2020-05-01,685372.4731739807
2020-06-01,801844.1532829868
2020-07-01,750626.4961926835
2020-08-01,710922.7417604598
2020-09-01,672330.2819035101
2020-10-01,707587.1461923112
2020-11-01,811887.3038842978
2020-12-01,937402.2739483765
