Data,Capital
2014-01-01,100000.0
2014-02-01,103197.14528559541
2014-03-01,109432.73685468818
2014-04-01,111219.80956840463
2014-05-01,111463.21528796517
2014-06-01,113908.30530649534
2014-07-01,115756.62253635337
2014-08-01,113673.23109715208
2014-09-01,107254.03194376492
2014-10-01,105314.11591120617
2014-11-01,99944.05621710754
2014-12-01,95761.35502552029
2015-01-01,100744.46325798698
2015-02-01,104525.22815139254
2015-03-01,111492.94542358961
2015-04-01,113598.43059727813
2015-05-01,111836.61045258981
2015-06-01,105178.07614317191
2015-07-01,100527.73006673541
2015-08-01,84819.27511725342
2015-09-01,100544.19578991302
2015-10-01,103434.6508804024
2015-11-01,94533.25918189819
2015-12-01,77445.92198970851
2016-01-01,85059.9402584352
2016-02-01,99641.20087190917
2016-03-01,114752.77276018051
2016-04-01,112524.95569089791
2016-05-01,107906.98212145428
2016-06-01,128998.80144228895
2016-07-01,135118.1929816946
2016-08-01,134574.09210486079
2016-09-01,135642.52889855162
2016-10-01,127812.25805972732
2016-11-01,121971.17201398085
2016-12-01,127931.300607197
2017-01-01,139785.57311786318
2017-02-01,136246.19843959206
2017-03-01,134202.58737726253
2017-04-01,134705.97099318454
2017-05-01,124286.15854984759
2017-06-01,129560.88182846035
2017-07-01,139007.0053549976
2017-08-01,155590.24864666123
2017-09-01,159114.14801749837
2017-10-01,152493.625647507
2017-11-01,153447.02678299462
2017-12-01,166825.2382634883
2018-01-01,173741.84194944342
2018-02-01,172961.720508428
2018-03-01,169791.86946324696
2018-04-01,162671.45128495182
2018-05-01,146681.9227072868
2018-06-01,148513.28180321792
2018-07-01,143807.03122147772
2018-08-01,140744.04679016455
2018-09-01,148077.63188533933
2018-10-01,155591.23878705074
2018-11-01,157021.14757518133
2018-12-01,166300.07208933457
2019-01-01,168729.916576463
2019-02-01,168729.89500146895
2019-03-01,165955.82833176493
2019-04-01,166755.67040450475
2019-05-01,177911.7761258694
2019-06-01,191384.49226606413
2019-07-01,193169.18099115882
2019-08-01,193821.7717936442
2019-09-01,194831.56850576645
2019-10-01,205405.77132852963
2019-11-01,224952.56580627212
2019-12-01,242369.60173502608
2020-01-01,233489.66305656396
2020-02-01,170259.18074264802
2020-03-01,198408.52711005844
2020-04-01,229485.6787073845
2020-05-01,269325.9042499004
2020-06-01,289299.9505871215
2020-07-01,291158.08131439495
2020-08-01,283182.41125521593
2020-09-01,268552.13251384173
2020-10-01,282487.28700706165
2020-11-01,302664.8748079957
2020-12-01,308092.7125921708
