Data,Capital
2014-01-01,100000.0
2014-02-01,100000.0
2014-03-01,104587.68910259442
2014-04-01,106627.22306834093
2014-05-01,106634.0328194542
2014-06-01,111169.42342616788
2014-07-01,114665.55504734864
2014-08-01,114732.33612902409
2014-09-01,110430.68843550481
2014-10-01,108530.36275036575
2014-11-01,102207.65046056276
2014-12-01,100291.51619712013
2015-01-01,100523.35447568713
2015-02-01,102331.23611576603
2015-03-01,110900.02095730763
2015-04-01,112220.86451083107
2015-05-01,109793.19942619967
2015-06-01,105565.15989914333
2015-07-01,99346.69533222106
2015-08-01,108568.12706401473
2015-09-01,100780.55774588848
2015-10-01,104381.27087847253
2015-11-01,97491.5647785909
2015-12-01,87458.2439145305
2016-01-01,103716.88032062455
2016-02-01,125850.22349597696
2016-03-01,135712.6738415614
2016-04-01,133600.02017309188
2016-05-01,127006.10173979618
2016-06-01,148906.97237647194
2016-07-01,157009.74914447012
2016-08-01,159172.2794913747
2016-09-01,164228.2544651433
2016-10-01,162826.19476158117
2016-11-01,159334.99334006858
2016-12-01,171244.1559606983
2017-01-01,186620.04250462202
2017-02-01,181931.3833144809
2017-03-01,179542.0937476476
2017-04-01,180380.5087877179
2017-05-01,175070.44392486825
2017-06-01,184678.72774025396
2017-07-01,197290.66989785834
2017-08-01,213608.39935859214
2017-09-01,217911.65427323995
2017-10-01,208783.30313847386
2017-11-01,211028.3009329597
2017-12-01,226991.96993385395
2018-01-01,235349.46967874392
2018-02-01,236088.11792905952
2018-03-01,233746.28501587047
2018-04-01,229775.43188638365
2018-05-01,208633.72697844642
2018-06-01,214747.18848408718
2018-07-01,215658.7609749832
2018-08-01,205708.6112736237
2018-09-01,214777.40939874886
2018-10-01,238536.3931802316
2018-11-01,238920.27235906525
2018-12-01,257145.2876665991
2019-01-01,268238.6001276298
2019-02-01,261737.1218091037
2019-03-01,252163.24109919058
2019-04-01,248106.06697122043
2019-05-01,263516.0091177201
2019-06-01,280779.2247748029
2019-07-01,284297.0395274861
2019-08-01,293537.2005136285
2019-09-01,293315.57447036984
2019-10-01,311380.4716730544
2019-11-01,338788.2868960177
2019-12-01,371584.12283198716
2020-01-01,360399.293341106
2020-02-01,257358.8411780314
2020-03-01,245950.952451332
2020-04-01,260932.9385384676
2020-05-01,299732.56191071984
2020-06-01,326244.0715886102
2020-07-01,323074.8543068671
2020-08-01,314437.4880093261
2020-09-01,294482.98127698875
2020-10-01,302829.07741591724
2020-11-01,323219.37246048456
2020-12-01,327626.56904356333
