Data,Capital
2021-01-01,100337.10628003645
2021-02-01,98906.92676734192
2021-03-01,105074.92862472357
2021-04-01,110030.13189558519
2021-05-01,118018.27102750735
2021-06-01,116721.03951377154
2021-07-01,112630.902993173
2021-08-01,109688.84881385048
2021-09-01,106240.32245402917
2021-10-01,99699.28560683267
2021-11-01,97602.12292352818
2021-12-01,98963.32450544409
2022-01-01,108940.4306514031
2022-02-01,108612.47004664001
2022-03-01,120922.71901489208
2022-04-01,118867.65193864192
2022-05-01,120794.15416913881
2022-06-01,120667.73112714027
2022-07-01,130822.18694362194
2022-08-01,133761.45344944598
2022-09-01,135716.94828128337
2022-10-01,138532.20334998265
2022-11-01,128217.02358384653
2022-12-01,136449.65213169856
2023-01-01,138026.22976233525
2023-02-01,135138.66979534936
2023-03-01,141331.70916878554
2023-04-01,157549.776635341
2023-05-01,170756.60217545385
2023-06-01,173225.31308737237
2023-07-01,169763.52126627555
2023-08-01,163236.52721747037
2023-09-01,155859.94998022003
2023-10-01,167383.59815820196
2023-11-01,176906.21359744572
2023-12-01,173199.79496889602
2024-01-01,170438.59332538955
2024-02-01,170035.15432614798
2024-03-01,159474.69768743345
2024-04-01,157597.47321382517
2024-05-01,145403.02643146052
2024-06-01,151010.79423585034
2024-07-01,153972.4254092243
2024-08-01,157860.4804990816
2024-09-01,156434.9500973468
2024-10-01,151159.45683502572
2024-11-01,154853.94852890522
