Data,Capital
2014-01-01,100000.0
2014-02-01,103801.840782825
2014-03-01,111444.21149993637
2014-04-01,114828.64971829788
2014-05-01,116816.63286018367
2014-06-01,120972.04465861783
2014-07-01,124629.10851646725
2014-08-01,126135.45410831792
2014-09-01,121471.27311022166
2014-10-01,120332.24919578082
2014-11-01,114417.98779279295
2014-12-01,109937.87981576908
2015-01-01,113341.5941740624
2015-02-01,115319.38173995826
2015-03-01,123360.5715940765
2015-04-01,127340.24425203953
2015-05-01,123796.6342195877
2015-06-01,115640.00139385044
2015-07-01,105521.87570562126
2015-08-01,104932.95478673544
2015-09-01,108748.21473197892
2015-10-01,107926.062179106
2015-11-01,95775.95793548445
2015-12-01,93057.87549494885
2016-01-01,99660.17247937777
2016-02-01,120089.39441592236
2016-03-01,131550.37814963338
2016-04-01,130556.20421162118
2016-05-01,128273.2225195837
2016-06-01,150508.18816186846
2016-07-01,157481.81935280422
2016-08-01,157505.44749529232
2016-09-01,159875.11765944172
2016-10-01,152275.982334807
2016-11-01,147750.6602307434
2016-12-01,157123.50171241592
2017-01-01,172734.75647547567
2017-02-01,171721.65281193677
2017-03-01,168462.86944439512
2017-04-01,171042.7622942809
2017-05-01,163864.52506622698
2017-06-01,173354.96104810073
2017-07-01,184383.93783936783
2017-08-01,202617.79434285776
2017-09-01,206050.29690364483
2017-10-01,197601.16663537425
2017-11-01,200316.46662569503
2017-12-01,216917.14953728952
2018-01-01,225152.06389711858
2018-02-01,225855.70451369544
2018-03-01,226794.96611705204
2018-04-01,223051.8687802238
2018-05-01,201855.04499940848
2018-06-01,209508.47666578204
2018-07-01,206237.30021247084
2018-08-01,203866.4407064859
2018-09-01,224940.78319084638
2018-10-01,250249.68689970003
2018-11-01,253860.5448649918
2018-12-01,277832.9441137203
2019-01-01,286381.4607808478
2019-02-01,288513.50177579635
2019-03-01,284368.65230521443
2019-04-01,285586.79703931994
2019-05-01,305700.9681362917
2019-06-01,329575.0499189768
2019-07-01,331353.82631188276
2019-08-01,341112.6742721546
2019-09-01,345628.01287998556
2019-10-01,368964.4603033581
2019-11-01,405784.59062631667
2019-12-01,447154.5733887586
2020-01-01,437091.7899915114
2020-02-01,316958.9223087301
2020-03-01,343617.301595336
2020-04-01,398291.20561665035
2020-05-01,474057.6282521342
2020-06-01,517117.60777340643
2020-07-01,517145.7525181795
2020-08-01,508100.389974231
2020-09-01,485339.9463228781
2020-10-01,507292.11281071114
2020-11-01,545752.9415655816
2020-12-01,559325.7086472984
