Price,Close,High,Low,Open,Volume
Ticker,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA
Date,,,,,
2014-01-02,11.310736656188965,11.38228321198366,11.174149694366122,11.252199918558267,8036139
2014-01-03,11.070082664489746,11.343256566138315,10.992032446582536,11.323744321832624,24922792
2014-01-06,10.926994323730469,11.115614400336005,10.76439016768181,11.024556817359665,9355960
2014-01-07,11.271710395812988,11.317239789504855,11.018047517161403,11.083089153668542,18755025
2014-01-08,11.382280349731445,11.42780849843393,11.213172607077038,11.284717904196002,11446953
2014-01-09,11.11561393737793,11.375781816904809,11.063580857746473,11.356268326443816,8830612
2014-01-10,11.18715763092041,11.206669875679431,10.985529033936407,11.122115987934025,13848973
2014-01-13,11.08309268951416,11.232689493754021,11.076589020062318,11.174151505948446,5076667
2014-01-14,11.05057144165039,11.265207389537442,11.03105795485651,11.076587356234626,7152057
2014-01-15,11.122541427612305,11.253394914903291,11.070200282301984,11.201053769592969,6173667
2014-01-16,10.978599548339844,11.201050919341041,10.913172821343027,11.135624192344224,5865839
2014-01-17,10.887005805969238,11.030944893661449,10.860834608923245,11.004773696615455,4786440
2014-01-20,10.92625904083252,10.991685771568765,10.841204540481424,10.880460079711124,2769854
2014-01-21,11.057111740112305,11.050569566701695,11.00477060873733,11.011312782147941,7059849
2014-01-22,11.214137077331543,11.227221424963748,11.07019802110634,11.129081329541577,12216423
2014-01-23,10.828120231628418,11.279565226573885,10.828120231628418,11.122540554932783,15451621
2014-01-24,10.74960708618164,10.958972883257587,10.533699114959326,10.939343864758147,13559847
2014-01-27,10.49444580078125,10.854291663818769,10.49444580078125,10.756151542618419,7639602
2014-01-28,10.533699989318848,10.801949120068873,10.533699989318848,10.664553467349156,11095920
2014-01-29,10.50098705291748,10.782321792680055,10.35050579658218,10.566413794631117,10996411
2014-01-30,10.383218765258789,10.566413385355109,10.245822488178982,10.507528820881522,7576396
2014-01-31,10.527156829833984,10.592584818515459,10.141140432825411,10.311249459306334,13303723
2014-02-03,10.141140937805176,10.566414149199183,10.082256369074834,10.422475062993076,13795669
2014-02-04,10.186939239501953,10.258908782289698,9.990659008634568,10.20656701298262,9327458
2014-02-05,10.101884841918945,10.200024964576107,9.912148020266704,10.173854390003909,11624669
2014-02-06,10.579500198364258,10.63184134611565,10.062629024262224,10.134598570431795,13695459
2014-02-07,10.72343921661377,10.729981392026087,10.415933259657113,10.520615554436635,7470687
2014-02-10,10.559869766235352,10.697265400506593,10.442101277412078,10.61875307462441,5477603
2014-02-11,10.860833168029785,10.906632132768992,10.572955030837804,10.62529741798559,7956131
2014-02-12,10.566412925720215,10.893546607387123,10.514071786259555,10.860833239220431,9754797
2014-02-13,10.684181213378906,10.71035240813322,10.304707001638093,10.474816647465465,9251151
2014-02-14,10.913174629211426,10.932802400955985,10.677638872216221,10.710352241133902,13057001
2014-02-17,10.834663391113281,10.958974704797951,10.66455435473146,10.906633558836651,3928661
2014-02-18,10.566412925720215,10.847747642347711,10.514071786259555,10.74960753784764,9351660
2014-02-19,10.690725326538086,10.690725326538086,10.402848372192953,10.468275122911914,7265768
2014-02-20,10.815033912658691,10.965515151589175,10.507528012564986,10.65801049952565,6814726
2014-02-21,10.847749710083008,11.030945605160394,10.716896212473708,10.79540856064538,6931037
2014-02-24,10.860833168029785,10.978601043051881,10.70380975067706,10.84120539686447,5324789
2014-02-25,10.860833168029785,11.01785658538251,10.716894099433794,10.769235238551369,7052148
2014-02-26,10.92625904083252,11.115997059179676,10.900087849325976,11.03748473269016,8180852
2014-02-27,11.050572395324707,11.115999138298266,10.900089888061245,10.972060054150369,6807526
2014-02-28,11.044028282165527,11.142168390493957,10.893547032334656,11.057113879548705,13450337
2014-03-05,10.991687774658203,11.115999084923205,10.795407546679996,10.985144351574059,8656896
2014-03-06,11.037484169006348,11.129080838541185,10.93934282988394,11.030941995478877,7522391
2014-03-07,10.96551513671875,11.109454201251475,10.913173999078715,11.050570889417754,11885493
2014-03-10,10.919717788696289,10.965516758917971,10.749608754193314,10.952432408594944,11190029
2014-03-11,10.92625904083252,11.050570328443431,10.795405579360029,10.919715618940826,8054740
2014-03-12,10.93934440612793,10.978601197039392,10.815034354983874,10.860833320365467,7650003
2014-03-13,10.854289054870605,10.998228114306531,10.743064609335246,10.985142518352331,11626469
2014-03-14,10.703808784484863,10.85428876584575,10.697265362666933,10.85428876584575,7894226
2014-03-17,10.906633377075195,10.93280332560453,10.644926403599717,10.762694292057612,7711209
2014-03-18,10.985143661499023,10.998229258814948,10.867377029746486,10.887004801705242,10998111
2014-03-19,10.972062110900879,11.024403265485184,10.762696244533076,10.860836377390116,10147433
2014-03-20,10.96551513671875,10.998228503747542,10.834661668603577,10.913173999078715,8947723
2014-03-21,10.900090217590332,11.21413959178196,10.880462443710952,10.880462443710952,13438636
2014-03-24,11.011314392089844,11.011314392089844,10.887004342902909,10.945887656297707,8815410
2014-03-25,10.952431678771973,11.050571787837216,10.867377167188152,11.037486190355793,6984242
2014-03-26,10.893548011779785,11.030944924611186,10.860834639395698,10.998230304196715,9479672
2014-03-27,11.155252456665039,11.187965821617489,10.92625890199789,10.932801075776341,14215907
2014-03-28,11.089827537536621,11.220681018712524,11.050571992395971,11.135626505554248,9632286
2014-03-31,11.089827537536621,11.174882050694897,11.017857374071692,11.122540907830597,12501850
2014-04-01,11.187967300415039,11.20105289773166,10.991687084756512,11.063655997952532,8833112
2014-04-02,11.233765602111816,11.384246842270723,11.129082077805045,11.207594409027577,10020621
2014-04-03,11.279723167419434,11.411035489043728,11.181238926201212,11.292854650063171,11137524
2014-04-04,11.095885276794434,11.424166054499173,11.063057199023959,11.384771609730738,13775867
2014-04-07,11.095885276794434,11.253460551055287,11.036794235845,11.233762702467846,13267220
2014-04-08,11.043362617492676,11.19437155230425,10.951443482003885,11.19437155230425,17932649
2014-04-09,11.030233383178711,11.115586167879755,10.912052508022885,11.017101896515411,8194753
2014-04-10,11.148412704467773,11.154979073087667,10.990838643691669,11.017100360950975,11303339
2014-04-11,11.42416763305664,11.42416763305664,11.0105340464753,11.08932169449237,9667089
2014-04-14,11.404471397399902,11.470126311697591,11.28628929540675,11.411036513107673,5725226
2014-04-15,11.384774208068848,11.38477420806885,11.12871589446303,11.292856320777041,8395672
2014-04-16,11.483261108398438,11.483261108398438,11.292857689828574,11.384775588263738,12197722
2014-04-17,11.4176025390625,11.52921828183958,11.358512735761758,11.476693594770001,10705484
2014-04-22,11.713056564331055,11.719621681263703,11.37821055262815,11.3847756695608,10918504
2014-04-23,11.575177192687988,11.680226560837474,11.502955908636054,11.680226560837474,6314980
2014-04-24,11.42416763305664,11.621136126896005,11.299420419329063,11.614569758990722,8689599
2014-04-25,11.338814735412598,11.450429212009308,11.23376412183029,11.404470899249064,7613400
2014-04-28,11.312553405761719,11.404472549395463,11.260028717573917,11.279725319093496,8445076
2014-04-29,11.267632484436035,11.45805344978382,11.241368257868011,11.425221601065081,10052200
2014-04-30,10.71606731414795,10.965584293407602,10.624140665161057,10.899921864528395,39208800
2014-05-02,10.565046310424805,10.755466007275619,10.473119020390417,10.637275119095905,34326000
2014-05-05,10.834261894226074,10.893357968387136,10.51908366697171,10.58474611075144,15848800
2014-05-06,10.932754516601562,10.978717849771762,10.696371481382405,10.847394219629319,15193900
2014-05-07,10.702937126159668,10.913057199082079,10.591311346209967,10.899924459698124,13927300
2014-05-08,10.702937126159668,10.814562906109371,10.650407421030806,10.716069865543625,8742300
2014-05-09,10.853960990905762,10.886791586555324,10.637275803360604,10.702936994659725,11153400
2014-05-12,10.952451705932617,10.972149558179298,10.847392319261386,10.913054749032575,7296800
2014-05-13,10.899922370910645,11.182269951523708,10.807994465246358,10.939319329105786,16851600
2014-05-14,10.965582847595215,11.031244015410334,10.886787692847978,10.945883745806782,7534700
2014-05-15,10.834261894226074,10.932754933692195,10.762033080827678,10.899924338005803,5050400
2014-05-16,10.840827941894531,10.945887347859271,10.72263579708247,10.86052705016551,8108100
2014-05-19,10.827692985534668,10.88678904583782,10.702934496849497,10.88678904583782,7758400
2014-05-20,10.702937126159668,10.96558690421094,10.67010653010674,10.781732310056443,10390000
2014-05-21,10.834261894226074,10.853961003082077,10.670106410980225,10.729202485141286,10945300
2014-05-22,10.978714942932129,10.978714942932129,10.794861658930252,10.794861658930252,7708800
2014-05-23,10.886792182922363,10.952454630225349,10.860527955445376,10.939321890283349,3863300
2014-05-26,10.932754516601562,10.952453624706033,10.814562372788535,10.932754516601562,3537900
2014-05-27,10.584745407104492,10.952453314456964,10.538780822829429,10.952453314456964,11362700
2014-05-28,10.604442596435547,10.670105031727536,10.505949569700958,10.630708071515055,8350900
2014-05-29,10.604442596435547,10.656972294187781,10.52564867601059,10.637274440284934,5279400
2014-05-30,10.414021492004395,10.650405113877467,10.407455749938206,10.545345726378324,14181700
2014-06-02,10.683236122131348,10.716066708512146,10.440285524731028,10.459984628003461,11627100
2014-06-03,10.735766410827637,10.78172973528809,10.637273393782857,10.696369454491057,11366100
2014-06-04,10.643840789794922,10.722635971755516,10.558480490710632,10.696371746039937,8087200
2014-06-05,10.558478355407715,10.722633803254482,10.473117447382997,10.65697137363444,7873600
2014-06-06,10.702937126159668,10.76203320098051,10.624143194669855,10.716069865543625,13354800
2014-06-09,10.768597602844238,10.801429445304512,10.650405474800708,10.696370054245094,12913200
2014-06-10,10.775166511535645,10.775166511535645,10.617577387795556,10.656974355628822,13934700
2014-06-11,10.558478355407715,10.834259557886549,10.499382293990346,10.788296232874522,16158900
2014-06-13,10.407454490661621,10.624139607711069,10.361490544539762,10.571609920317462,10256100
2014-06-16,10.276130676269531,10.505948551310787,10.276130676269531,10.44685249051713,12161300
2014-06-17,10.210470199584961,10.328661710318537,10.138241393144174,10.295831117794629,5580700
2014-06-18,10.479683876037598,10.479683876037598,10.24986599724509,10.262998733726189,9952600
2014-06-20,10.505948066711426,10.512514434541913,10.40088868623684,10.466550485931805,7005200
2014-06-23,10.276130676269531,10.532214023844263,10.269564934339494,10.479683704980644,6544900
2014-06-24,10.230168342590332,10.32209562675116,10.223601973820974,10.282698040338408,12096100
2014-06-25,10.18420696258545,10.34179608598785,10.177640592559472,10.243303040412227,9315300
2014-06-26,10.295831680297852,10.341795013305218,10.18420590624844,10.256434090431934,8465600
2014-06-27,10.203903198242188,10.32209532785457,10.177638350128701,10.269565631627593,6190100
2014-06-30,10.348361015319824,10.348361015319824,10.177639175633283,10.190771913856905,10318600
2014-07-01,10.525649070739746,10.525649070739746,10.315529645647597,10.361492976353654,7914700
2014-07-02,10.505948066711426,10.505948066711426,10.387755950575865,10.499381698880939,9302200
2014-07-03,10.67667293548584,10.70293716193458,10.394325299821837,10.414023782760134,9697500
2014-07-04,10.71606731414795,10.742332786662297,10.551911868153265,10.676670357783092,2821300
2014-07-07,10.525649070739746,10.670105431874044,10.51908270172362,10.670105431874044,7228500
2014-07-08,10.551912307739258,10.584744149749946,10.453419286520623,10.558478676141396,5275900
2014-07-10,10.289263725280762,10.656971585079337,10.27613098861485,10.532214343973294,30097500
2014-07-11,10.282696723937988,10.34179278288989,10.256431878426401,10.276130356009263,10100300
2014-07-14,10.243302345275879,10.420589940521518,10.177639901879143,10.41402357094115,16418000
2014-07-15,10.315530776977539,10.322097146713817,10.1907728830057,10.263001071494292,14963500
2014-07-16,10.519081115722656,10.545345335420379,10.30896172231099,10.341792936238123,12182200
2014-07-17,10.637272834777832,10.722633111089053,10.4665504035455,10.499381616236207,11484800
2014-07-18,10.9196195602417,10.9196195602417,10.676670204994036,10.702934424725866,19551900
2014-07-21,11.03124713897705,11.083776839547156,10.840827444062986,10.893357144633091,9746400
2014-07-22,10.945884704589844,11.044377717346318,10.87365591077868,11.044377717346318,8577000
2014-07-23,10.78829574584961,10.952451186285773,10.762030274224646,10.834259068786675,7539200
2014-07-24,10.978714942932129,11.004980413450436,10.840824979930721,10.86708919804246,5597600
2014-07-25,10.899922370910645,11.024680866336428,10.880223265609715,10.99184902416821,12715100
2014-07-28,10.709502220153809,10.97871708342168,10.80143013248424,10.926187384550065,8601200
2014-07-29,10.875282287597656,10.994645347120445,10.755919228074868,10.808969336216736,5442100
2014-07-30,10.875282287597656,10.968120925456684,10.835495022694841,10.941595238978577,7203600
2014-07-31,10.391200065612793,10.689607719385323,10.358043589370602,10.6431877672762,20162600
2014-08-01,10.351412773132324,10.457513629794994,10.31162550524014,10.404462885260047,10414700
2014-08-04,10.364672660827637,10.430984965867985,10.225415998113752,10.397829129551331,11224700
2014-08-05,10.165740013122559,10.37794051658317,10.125952734927386,10.358046877485585,11756200
