Price,Close,High,Low,Open,Volume
Ticker,AMER3.SA,AMER3.SA,AMER3.SA,AMER3.SA,AMER3.SA
Date,,,,,
2014-01-02,1171.999267578125,1340.4198567960054,1171.999267578125,1336.0790669123683,11481
2014-01-03,1302.221435546875,1302.221435546875,1184.1533603195144,1185.0214225809643,38245
2014-01-06,1319.5843505859375,1341.2880610319842,1231.9014465439343,1284.8583899389223,11754
2014-01-07,1303.9576416015625,1336.9472375728374,1289.1991475881,1330.8702035868998,4560
2014-01-08,1291.8035888671875,1334.342827270522,1268.3636345497134,1302.2214128231208,4970
2014-01-09,1252.7369384765625,1291.80356827174,1250.1325124457771,1284.8583524118467,4030
2014-01-10,1277.9132080078125,1293.5398832696878,1236.242034087247,1254.4731352816525,2204
2014-01-13,1283.9903564453125,1288.3310268317412,1259.682219347857,1271.8362878965847,1423
2014-01-14,1293.5399169921875,1310.902836772835,1288.3309453246354,1288.3309453246354,1563
2014-01-15,1316.1116943359375,1326.529518048373,1288.330950769474,1303.9576265047783,1624
2014-01-16,1310.03466796875,1336.9472297975724,1297.8806000675595,1315.243520021632,1025
2014-01-17,1384.6953125,1397.7175622330294,1306.562053435219,1323.9250929681575,4883
2014-01-20,1354.3101806640625,1411.6080332203956,1348.2331465747577,1392.5087490349513,1652
2014-01-21,1369.9368896484375,1371.673253525073,1369.9368896484375,1369.9368896484375,2243
2014-01-22,1389.0361328125,1396.8494110239312,1362.991752441029,1383.8272806715459,2999
2014-01-23,1374.277587890625,1395.9812972321329,1371.6731619163154,1379.486439839244,1306
2014-01-24,1345.628662109375,1388.1678988889637,1336.9472023108237,1388.1678988889637,1644
2014-01-27,1905.5838623046875,1909.0564702048675,1715.4595670200783,1779.7025140066676,41911
2014-01-28,2126.961669921875,2143.4562885174078,1892.56176894952,1923.8150013235875,32774
2014-01-29,2100.917236328125,2125.225373201344,2041.0149564143326,2109.598577020899,9407
2014-01-30,2022.783935546875,2092.235617122124,2010.6298673378662,2090.499492616125,7759
2014-01-31,2021.9156494140625,2055.773428207464,1980.2447119504411,1984.5853822487195,3199
2014-02-03,1979.37646484375,2083.5542239057154,1941.1780170099353,1998.4757485940065,3709
2014-02-04,1948.9913330078125,1983.7171735929373,1901.2432423699152,1964.618009137799,4240
2014-02-05,1944.6505126953125,1951.5957285704244,1904.7158205801666,1918.6061326636914,2975
2014-02-06,1990.662353515625,2074.872647042447,1922.9469177346218,1922.9469177346218,4404
2014-02-07,1975.03564453125,2041.01483507412,1954.200116973854,2014.1022736597045,2942
2014-02-10,1996.7393798828125,2021.9155778552265,1915.1335126962983,1944.6505004800656,1113
2014-02-11,1942.914306640625,2010.62986358343,1941.1780624711664,2001.0802214846549,1157
2014-02-12,1925.5513916015625,1988.9261587958406,1918.606175571129,1953.3321360565958,1911
2014-02-13,1910.7928466796875,1937.7054085014636,1880.4076769346664,1898.638778781679,1702
2014-02-14,1927.28759765625,1948.1231256687463,1892.5617575243225,1892.5617575243225,797
2014-02-17,1938.573486328125,1942.0460942793075,1901.2432201029894,1932.496452330231,496
2014-02-18,1880.40771484375,1938.573509813959,1880.40771484375,1926.419441670924,1261
2014-02-19,1925.5513916015625,1941.1780678366877,1885.6165789266213,1885.6165789266213,614
2014-02-20,1955.068359375,1980.2446774667255,1908.1883311697216,1908.1883311697216,1123
2014-02-21,1988.0579833984375,2007.1572677114466,1940.3098922826166,1981.1127673452156,2016
2014-02-24,2027.124755859375,2052.30095490771,1975.0357545638728,1987.1898229550359,4217
2014-02-25,1996.7393798828125,2021.9155778552265,1934.2327963995351,2007.157203630041,4063
2014-02-26,1985.4534912109375,2035.806006754098,1965.486025639201,1996.7393771717548,1182
2014-02-27,1997.6075439453125,1998.4757258331722,1958.5409146586837,1989.7941462879685,1014
2014-02-28,2019.3111572265625,2034.0696511578508,1955.9365113451659,1984.5853173098137,1873
2014-03-05,2022.783935546875,2039.2787936876878,2003.6846513136607,2019.3112078680708,913
2014-03-06,2014.102294921875,2045.355646421248,2008.893442894212,2039.2787321667731,738
2014-03-07,2052.30078125,2052.30078125,1968.9585537626763,1995.0030522066431,1507
2014-03-10,2082.68603515625,2082.68603515625,1996.7394929579382,2050.564619533318,1968
2014-03-11,2147.797119140625,2179.050471774319,2060.9822773062983,2078.3454371398875,13216
2014-03-12,2126.961669921875,2161.6875102634385,2092.235590246911,2146.929016151604,2277
2014-03-13,2183.39111328125,2199.8859704016113,2148.6650353085456,2148.6650353085456,6448
2014-03-14,2130.43408203125,2185.1272666465325,2106.99400900562,2185.1272666465325,2380
2014-03-17,2151.269775390625,2166.896331521765,2123.4889120462917,2131.302190111862,1326
2014-03-18,2179.050537109375,2184.2593894822685,2139.1158426949187,2139.1158426949187,4849
2014-03-19,2166.0283203125,2187.7320305614617,2159.0831043128237,2171.2371724789064,1728
2014-03-20,2165.159912109375,2206.8309667220055,2159.95106019947,2159.95106019947,1493
2014-03-21,2187.73193359375,2188.599995805208,2145.1925772312484,2145.1925772312484,2621
2014-03-24,2212.908203125,2235.479975358505,2171.2371469502987,2179.91848734777,3720
2014-03-25,2225.062255859375,2244.1615396693364,2161.6874901263554,2179.050410135394,6242
2014-03-26,2248.502197265625,2275.414999794874,2238.952794239213,2245.897771106893,3298
2014-03-27,2312.7451171875,2426.4725164991646,2251.974778547686,2263.2607840570063,8876
2014-03-28,2322.294921875,2377.8564124347645,2301.4592731650596,2301.4592731650596,6573
2014-03-31,2403.900634765625,2413.4502770178597,2339.657804462779,2348.3391451162793,6391
2014-04-01,2344.86669921875,2399.560127594004,2326.635715982606,2383.0652689199806,2928
2014-04-02,2395.21923828125,2403.9005787323945,2343.130238240781,2354.4162440940095,2501
2014-04-03,2430.813232421875,2468.143739699358,2370.91119125581,2404.7689707555032,4760
2014-04-04,2482.902099609375,2521.968729321174,2442.0991061029586,2442.0991061029586,9532
2014-04-07,2520.232421875,2543.6724959595217,2482.9021551231713,2526.309575625336,5552
2014-04-08,2530.650146484375,2572.321203486969,2522.836868171402,2528.914021970428,9562
2014-04-09,2534.990966796875,2548.013336807866,2495.0562731633463,2548.013336807866,6150
2014-04-10,2502.00146484375,2541.9361580868895,2500.265100992577,2513.287231542861,2149
2014-04-11,2376.119873046875,2508.946316012195,2300.591040968538,2508.078253796756,7955
2014-04-14,2291.909423828125,2370.0426806025644,2253.711096975472,2367.438254665642,5470
2014-04-15,2290.17333984375,2328.371667370544,2251.974772983563,2265.8652044478845,2526
2014-04-16,2281.491943359375,2298.8548644158795,2232.8756686677975,2290.1735235543333,2031
2014-04-17,2282.35986328125,2307.536300676179,2238.084381448875,2265.8652448731555,2696
2014-04-22,2226.798583984375,2264.1288494390633,2206.830998927157,2259.7880596729988,4276
2014-04-23,2222.457763671875,2255.447238907077,2163.423789531647,2196.413264766849,7875
2014-04-24,2222.457763671875,2232.007405292605,2186.863623146119,2222.457763671875,2717
2014-04-25,2192.072509765625,2228.53471307658,2154.7422442330026,2210.3037310877994,5529
2014-04-28,2153.005859375,2187.7319379025976,2113.939230448171,2187.7319379025976,7837
2014-04-29,2135.64306640625,2153.0059870328496,2127.8297880242912,2143.4563447882088,1440
2014-04-30,2151.269775390625,2166.0282692922783,2105.2579298932947,2133.906616133718,2089
2014-05-02,2209.435546875,2262.392610543929,2166.896427086347,2168.6327909552942,3468
2014-05-05,2274.546630859375,2294.5139772630887,2208.5674379021375,2219.8534438115157,2361
2014-05-06,2284.09619140625,2309.2723890745865,2265.8652094855147,2292.7777709241004,1065
2014-05-07,2326.635498046875,2373.5154041677056,2256.315519198935,2272.810136994498,3043
2014-05-08,2352.679931640625,2380.460796091037,2323.1629426621166,2338.789738748825,2441
2014-05-09,2304.931884765625,2374.383564964429,2254.5792490881136,2374.383564964429,2331
2014-05-12,2352.679931640625,2376.1200061039845,2272.810305345799,2288.4371014325075,3160
2014-05-13,2380.460693359375,2396.0872494382943,2352.6798301078798,2369.1746877467804,1042
2014-05-14,2356.152587890625,2403.900558299569,2326.6355998075032,2403.900558299569,1338
2014-05-15,2343.99853515625,2375.2518872516775,2328.371739441836,2349.2073872832543,853
2014-05-16,2334.448974609375,2370.042878497137,2301.459257542592,2348.339167654971,513
2014-05-19,2303.195556640625,2343.130249440246,2285.832636321946,2313.6132609651518,1137
2014-05-20,2282.35986328125,2304.9318746468275,2251.9748131610154,2297.118357225375,902
2014-05-21,2233.74365234375,2308.4044256593193,2208.567453597834,2284.964351424567,1977
2014-05-22,2196.413330078125,2249.3703916708023,2163.423853861967,2241.55711356698,1824
2014-05-23,2205.094970703125,2220.7215273427237,2170.3688903927878,2185.1273847746543,985
2014-05-26,2214.64453125,2230.2710873136743,2188.6000318104807,2197.281372068057,605
2014-05-27,2213.7763671875,2234.6120158998874,2189.468230023087,2222.457947317681,1112
2014-05-28,2231.13916015625,2243.293228041408,2197.2813825237818,2217.248967811353,1226
2014-05-29,2238.95263671875,2258.0516807612794,2210.303711654867,2218.1169895813646,843
2014-05-30,2482.902099609375,2515.891575706714,2397.8236243407055,2400.4280503659324,18610
2014-06-02,2527.177490234375,2535.8590695609796,2482.9020100688226,2482.9020100688226,3156
2014-06-03,2534.990966796875,2556.694677481786,2514.1555577127406,2533.254602928728,2217
2014-06-04,2738.137451171875,2765.0500122584267,2541.9360063687955,2541.9360063687955,9929
2014-06-05,2672.158203125,2989.032282847384,2672.158203125,2713.829499888548,13432
2014-06-06,2858.877197265625,3020.204901814732,2813.8554733139254,2907.650711602183,111085
2014-06-09,2949.858642578125,3010.825476694991,2802.600149485551,2808.2278351578707,21675
2014-06-10,2981.7490234375,2982.6869710252427,2899.2091570493526,2972.3693082266755,4736
2014-06-11,3096.17919921875,3127.131470528074,2962.989919826897,2963.9278674423313,10441
2014-06-13,2998.632080078125,3137.4488017336657,2943.2929330667816,3119.6277975661915,12432
2014-06-16,2917.968017578125,3029.5842556967723,2866.380662531687,3001.445828944201,11665
2014-06-17,2977.9970703125,2999.5701047185853,2926.409712327032,2928.2858468841478,4583
2014-06-18,2968.617431640625,3057.7229285545536,2925.471604524405,2988.314569744438,7022
2014-06-20,2907.650634765625,3026.7704550038575,2907.650634765625,2990.190499718138,8769
2014-06-23,2809.165771484375,2925.4717535785394,2804.4760334429493,2918.9061203205433,2395
2014-06-24,2664.721435546875,2854.187575711019,2645.0242958894937,2809.1658499228174,6868
2014-06-25,2626.26513671875,2673.162754088734,2569.0500961807156,2649.713825737046,8451
2014-06-26,2649.7138671875,2659.0933429415454,2588.747035452812,2640.334391433455,5301
