Price,Close,High,Low,Open,Volume
Ticker,BEEF3.SA,BEEF3.SA,BEEF3.SA,BEEF3.SA,BEEF3.SA
Date,,,,,
2014-01-02,8.52194881439209,8.665874866424552,8.415898116545822,8.665874866424552,762436
2014-01-03,8.628000259399414,8.718901705068241,8.431048841388368,8.559824909835543,1011090
2014-01-06,8.461347579956055,8.63557434542633,8.40832223429666,8.63557434542633,737825
2014-01-07,8.499223709106445,8.68102512076175,8.438623728346482,8.438623728346482,1069974
2014-01-08,8.484073638916016,8.529524358771905,8.408322928948001,8.529524358771905,508189
2014-01-09,8.446197509765625,8.514372848612904,8.362871442563279,8.484072861278031,508291
2014-01-10,8.52194881439209,8.665874866424552,8.431048111282761,8.514373449679777,1266964
2014-01-13,8.559822082519531,8.665872754520878,8.453771410518184,8.665872754520878,1198013
2014-01-14,8.665874481201172,8.794650532772222,8.484073083064118,8.650724487137692,1425920
2014-01-15,8.824950218200684,8.893126285503618,8.635573477949585,8.749198787412679,1497109
2014-01-16,8.779500961303711,8.923427013866018,8.711325617392658,8.877977029487878,1637657
2014-01-17,8.74162483215332,8.824950156468388,8.605272698501262,8.824950156468388,1073736
2014-01-20,8.711324691772461,8.779500028439557,8.620423263299521,8.779500028439557,962986
2014-01-21,8.711324691772461,8.726474684955415,8.726474684955415,8.726474684955415,1427344
2014-01-22,8.870402336120605,8.915851585486653,8.718900919899479,8.802226258008488,1398868
2014-01-23,8.650724411010742,8.893127252643854,8.64314904670184,8.832525807547931,1160587
2014-01-24,8.6885986328125,8.703748624771679,8.476496541321362,8.612847938329063,1059905
2014-01-27,8.446197509765625,8.75677495135478,8.423472886608288,8.696174976685036,541241
2014-01-28,8.271970748901367,8.55224817836506,8.10531862923708,8.46892138384535,1769255
2014-01-29,8.4764986038208,8.491648599466272,8.264397195408753,8.264397195408753,792946
2014-01-30,8.378022193908691,8.529523600374057,8.347721471803037,8.529523600374057,400693
2014-01-31,8.317421913146973,8.324997278404945,8.082595141090424,8.256821929834146,798132
2014-02-03,8.105319023132324,8.309846500898383,7.961392986996122,8.309846500898383,886916
2014-02-04,8.105319023132324,8.203795080077537,7.825042314735554,8.203795080077537,1330119
2014-02-05,7.953817367553711,8.143194093991003,7.840191331691336,8.037142686373613,842982
2014-02-06,8.143194198608398,8.158344189980514,7.847766795445806,7.908366760934272,679348
2014-02-07,8.150769233703613,8.302270624360288,7.991693214326641,8.158344597111471,649855
2014-02-10,7.900793075561523,8.181070546866213,7.89321771092315,8.128045198460624,673856
2014-02-11,7.878066539764404,8.006843311258212,7.696265897159345,7.8856419032714165,827829
2014-02-12,7.840192794799805,7.961393481525199,7.779592084093283,7.862918153150706,852135
2014-02-13,8.150769233703613,8.173493854552069,7.734140409397761,7.840191823669967,651991
2014-02-14,8.105319023132324,8.135619743947252,7.847767671674849,8.135619743947252,642737
2014-02-17,8.059869766235352,8.112895114053897,7.938668341489246,8.112895114053897,540122
2014-02-18,7.794743061065674,8.090170552819774,7.779593065150443,8.090170552819774,1015768
2014-02-19,7.794743061065674,7.80231842636716,7.5220409305282905,7.703842350886546,892102
2014-02-20,7.8704938888549805,7.90836924653325,7.590216388973339,7.718993192829656,1307949
2014-02-21,7.915942668914795,7.953818755499161,7.83261733555458,7.908368039348033,531173
2014-02-24,7.953817367553711,7.9689673587311916,7.870491314046298,7.9159412875787405,2022486
2014-02-25,7.802316665649414,7.953818059988491,7.779591309561038,7.953818059988491,595853
2014-02-26,7.893217086791992,7.953818529731764,7.779591769014681,7.878067093400859,1020853
2014-02-27,7.953817367553711,8.052292677551094,7.832615968758839,7.862916685801313,939799
2014-02-28,7.991694450378418,8.014419809429295,7.870493025232189,7.893217649595395,1102517
2014-03-05,7.900793075561523,7.991694512471306,7.870493086383381,7.991694512471306,404049
2014-03-06,7.4235639572143555,7.817467476808919,7.3781132402779,7.718992147926018,2454706
2014-03-07,7.4235639572143555,7.726566777623659,7.34781325211203,7.415989327516715,2075064
