Price,Close,High,Low,Open,Volume
Ticker,DXCO3.SA,DXCO3.SA,DXCO3.SA,DXCO3.SA,DXCO3.SA
Date,,,,,
2014-01-02,6.266488075256348,6.545441390471841,6.226638152308282,6.5255164289978085,1975210
2014-01-03,6.4209089279174805,6.425890971815646,6.241582329639466,6.296376460930542,5209302
2014-01-06,6.2166748046875,6.3710956676266735,6.166862079012176,6.336226502682007,1897316
2014-01-07,6.127010822296143,6.2764509254339,6.107086503098859,6.261506722391171,1231024
2014-01-08,6.102104187011719,6.186786715610531,5.9576467762022745,6.186786715610531,2328979
2014-01-09,5.9028520584106445,6.131992642130914,5.87794569667751,6.082179918664644,3052880
2014-01-10,5.917797088623047,5.962629059957137,5.867983715759624,5.87794651881829,2587003
2014-01-13,5.92277717590332,5.977571295707492,5.828131852707362,5.897870173783454,2227013
2014-01-14,6.0273847579956055,6.082180169413145,5.8978709007280825,5.912815103841957,1260640
2014-01-15,6.246562957763672,6.271469322153097,6.052292159152358,6.10708693172496,3183244
2014-01-16,6.2166748046875,6.301357337737341,6.201730601526993,6.251544612062016,4226700
2014-01-17,6.14195442199707,6.251543948685434,6.0971224597027,6.196749185341252,4581010
2014-01-20,6.151918411254883,6.171843374773117,6.102105038814437,6.117049243275543,801389
2014-01-21,6.176824569702148,6.206712977624867,6.19675017498396,6.19675017498396,1539084
2014-01-22,6.241581439971924,6.271468559661615,6.176823872544887,6.191768074819544,2401734
2014-01-23,6.176824569702148,6.32128263827575,6.166862409491126,6.201730933874529,1602373
2014-01-24,6.117049694061279,6.2017315982916505,6.027385745546824,6.1419560609019825,3889565
2014-01-27,6.176824569702148,6.201730933874529,6.0921426745441,6.166862409491126,3235985
2014-01-28,6.127010822296143,6.271468881989812,6.102104459654772,6.271468881989812,2142493
2014-01-29,6.127010822296143,6.161880629395844,6.057273135386273,6.062254536400516,2661246
2014-01-30,5.952665328979492,6.146936767156706,5.952665328979491,6.131993205715308,2020648
2014-01-31,5.9028520584106445,5.977571786039871,5.853038692514554,5.927758420143779,2830692
2014-02-03,5.723524570465088,5.8978703792284355,5.653786246959749,5.872964018670754,3740809
2014-02-04,5.70359992980957,5.793263218294717,5.663749365228452,5.7434504943906886,2554682
2014-02-05,5.603974342346191,5.728506805708827,5.484422637876958,5.708581200415679,3899572
2014-02-06,5.848058223724365,5.892890191008073,5.594011265689828,5.6488053927022515,4359770
2014-02-07,5.977571964263916,6.002478326739645,5.7932633401119,5.7932633401119,2346965
2014-02-10,5.803225040435791,6.002477187276857,5.798243640400307,5.9327395140692305,2186579
2014-02-11,5.957646369934082,5.957646369934082,5.738468604625687,5.838094686375928,1567348
2014-02-12,5.803225040435791,5.992515029635607,5.783299440293854,5.992515029635607,1722865
2014-02-13,5.763376712799072,5.828133003811319,5.693637735519194,5.7783202745927,2674093
