Price,Close,High,Low,Open,Volume
Ticker,NTCO3.SA,NTCO3.SA,NTCO3.SA,NTCO3.SA,NTCO3.SA
Date,,,,,
2019-12-18,35.05451202392578,37.190587585359154,34.320233207497694,35.33105802419133,3867601
2019-12-19,37.04754638671875,37.362236798659396,34.86379116142971,35.23569635826984,5180104
2019-12-20,37.22873306274414,38.048832258409796,36.86635942047632,37.23826825385714,6574112
2019-12-23,38.00115203857422,38.33491649595766,37.30502118619891,37.552958002771064,3142545
2019-12-26,37.610172271728516,38.134655060488804,37.30501706168736,38.048831067164045,1778438
2019-12-27,37.08169937133789,38.02615475473658,36.63332299679135,37.692258151463605,3110842
2019-12-30,36.89090347290039,37.720875447367305,36.49976516339431,37.34881891952084,4234330
2020-01-02,36.56654357910156,37.28203573584885,35.77472794012129,37.09123976843757,10509319
2020-01-03,39.113704681396484,39.113704681396484,36.5951644284796,36.728722333557435,55887558
2020-01-06,38.283729553222656,41.336505100388315,37.682713514371876,39.304501092471995,71297860
2020-01-07,38.90382385253906,38.98014369638693,37.463296808473714,38.3505104438583,23489732
2020-01-08,39.104164123535156,40.124939346917614,38.66532682329668,38.922907216631046,15212986
2020-01-09,40.06769943237305,40.06769943237305,38.741648401403914,39.59070218734385,13394744
2020-01-10,40.916751861572266,41.52730700475248,39.676563432992644,40.04861996156653,14963767
2020-01-13,41.718101501464844,41.81349947980167,41.231565260887905,41.49868469549922,11518398
2020-01-14,42.223716735839844,42.223716735839844,41.098008194476456,41.21248431500488,4145623
2020-01-15,42.52899932861328,42.872434995258835,41.498688689199,41.975682266264755,3568878
2020-01-16,43.32081604003906,43.330355111124476,41.89936342711401,42.73887811166283,5136500
2020-01-17,43.769187927246094,44.52283997631404,42.93921239888782,43.34942880827464,4790073
2020-01-20,44.36066436767578,44.43698421289284,43.587930484200086,43.78826916802546,3062838
2020-01-21,43.835968017578125,45.01891833560569,43.835968017578125,44.24618445466556,6218885
2020-01-22,45.553157806396484,45.944292467277684,44.07446716120486,44.36066476358427,4608659
2020-01-23,47.10816192626953,47.10816192626953,44.57053993547964,45.54361245503797,5322815
2020-01-24,46.91736602783203,47.8427396294197,46.55484857194694,47.31804340746701,3808097
2020-01-27,45.28603744506836,46.35450798743721,44.0553881432608,45.99199054636964,7018347
2020-01-28,46.78380584716797,47.16540142669592,45.32419702329643,45.429134078914785,4028414
2020-01-29,46.125553131103516,47.3943623836358,45.8107346758242,47.21310547876446,6008768
2020-01-30,46.69794845581055,46.69794845581055,43.9981475413337,45.79165665019957,8111132
2020-01-31,45.39097595214844,46.67886325539882,44.742260945675476,46.01107010848954,6292990
2020-02-03,45.591312408447266,46.84104346985387,45.448215432273834,45.77257294563994,4027414
2020-02-04,46.2877311706543,47.270342804703475,45.87751473390518,46.1923295447859,4459947
2020-02-05,46.26865005493164,47.31804247822891,45.37189732363637,46.93644688770156,4125821
2020-02-06,44.875823974609375,46.888749994504195,44.55146643431227,46.6502513749354,4360040
2020-02-07,43.47344970703125,45.09523728154589,42.948753512954305,44.6087010091915,7468782
2020-02-10,42.91059494018555,44.2175641114449,41.51776685222074,43.36851401525148,8623472
2020-02-11,45.60085678100586,45.6962547685996,42.9678366565378,43.21587433586363,6146979
2020-02-12,47.01276779174805,47.919059614320574,45.505456258522,45.724876730582444,7282467
2020-02-13,46.90782928466797,46.90782928466797,45.62947723482223,45.7916596484162,2545998
2020-02-14,48.54869079589844,48.596393428264626,46.26864909210619,46.802884363518395,4533053
2020-02-17,48.291114807128906,48.93029078449129,47.20356246642521,48.44375449834576,2630905
2020-02-18,47.566078186035156,47.9667555411906,46.88874594994248,47.84273670644986,4230429
2020-02-19,48.03353500366211,48.453290488341274,46.27818594523493,47.842735401772764,3815597
2020-02-20,47.699642181396484,48.548692287755166,46.84104572510712,48.08123777570913,4593258
2020-02-21,46.26865005493164,47.60424008099383,45.801195547522575,47.60424008099383,5545532
2020-02-26,44.20802307128906,44.63732127517041,42.92967480903616,43.51160905832918,9365030
2020-02-27,43.43528747558594,44.570538717377865,42.46221498262143,44.05538526073359,9294124
2020-02-28,43.41621398925781,43.41621398925781,40.32527836016577,42.376360615498825,12443270
2020-03-02,42.7484130859375,43.70240745051806,42.00430010198836,42.5957770447656,6106876
2020-03-03,42.45267868041992,43.84550674134434,41.527305116869776,43.21587348456884,17643276
2020-03-04,42.13786315917969,43.02507686217417,41.30789116317196,42.691180249503375,8969299
2020-03-05,39.35219955444336,42.58623559647053,38.97060398099515,42.58623559647053,8391654
2020-03-06,37.96891403198242,38.92290851114017,37.58731842400601,38.41729041813278,15628518
2020-03-09,34.34374237060547,36.07047074395946,33.77134714969241,35.04969550587085,15945043
2020-03-10,37.301116943359375,37.301116943359375,34.00984288233639,35.93690614414353,11769117
2020-03-11,34.25788497924805,35.77473201836817,31.472224959022366,35.77473201836817,15144281
2020-03-12,27.198335647583008,32.197258385398534,26.711799347174466,28.667483619919924,9072407
2020-03-13,31.481761932373047,34.33419890290353,28.047387043146724,32.91275359257931,13099621
2020-03-16,23.849821090698242,26.654559081407506,23.19156514201821,25.75780634121678,15559013
2020-03-17,26.55915641784668,26.55915641784668,23.897517516065943,25.13770761360849,11333683
2020-03-18,24.040616989135742,25.14724922050974,19.89074839615661,24.565313164548858,13265934
2020-03-19,24.69887351989746,24.95645209808323,20.52038548138505,22.991226922465646,12084842
2020-03-20,24.01199722290039,26.921675814309758,23.659020673197105,25.757805469589275,10788241
2020-03-23,20.27234649658203,23.83073826940859,19.499610811483457,23.802119237992535,14846157
2020-03-24,23.754419326782227,24.517612272320147,21.38851701021569,21.6556346321409,10991957
2020-03-25,27.570392608642578,29.249420188889598,22.533309867901522,23.13432594950519,10479617
2020-03-26,27.665790557861328,28.7819619059006,26.22526169296041,27.017075524138033,8757183
2020-03-27,27.236492156982422,27.799348234673865,25.958140325043775,26.04400105297571,6051772
2020-03-30,26.16802215576172,27.942449451325576,25.404827346096155,27.48453220157848,8644374
2020-03-31,24.55577278137207,26.234800213398206,23.659020093499286,26.234800213398206,9118111
2020-04-01,22.123092651367188,23.639941410327868,21.302659761467037,22.89582836685717,14495330
2020-04-02,22.781347274780273,23.601780117055178,21.65563506450869,22.256651090644066,8305947
2020-04-03,22.59054946899414,23.277424462215,20.816123919622644,22.561930435834466,8496462
2020-04-06,25.223569869995117,26.549620871784434,23.678102032849125,24.43175598925125,8627372
2020-04-07,27.62763023376465,28.238185336647803,26.730877540138682,26.730877540138682,8928296
2020-04-08,28.724721908569336,28.982300470856778,26.559158174663917,27.627630525875936,6465704
2020-04-09,27.646709442138672,29.564233611883395,27.427290809943027,28.762880743557766,10042483
2020-04-13,26.959835052490234,27.95198754238617,25.805503807704948,27.484531238277974,10306003
2020-04-14,28.4099063873291,29.14448036119723,27.427292912115583,27.551311752918863,7773606
2020-04-15,30.336971282958984,31.128786953354275,27.474991623989318,27.522692437473395,11196473
2020-04-16,30.842586517333984,32.22587920893492,30.060313536841992,30.62316968458499,10479717
