Price,Close,High,Low,Open,Volume
Ticker,RSID3.SA,RSID3.SA,RSID3.SA,RSID3.SA,RSID3.SA
Date,,,,,
2014-01-02,48.0,51.5,47.5,51.25,661624
2014-01-03,51.25,51.5,47.5,48.25,914784
2014-01-06,50.75,51.5,49.5,51.0,475896
2014-01-07,49.75,53.5,49.25,51.25,555908
2014-01-08,50.0,50.75,49.25,50.25,295104
2014-01-09,47.75,50.25,47.75,50.25,342552
2014-01-10,47.5,49.5,47.0,48.0,321932
2014-01-13,47.0,48.75,46.75,47.5,299576
2014-01-14,48.0,48.5,46.75,47.0,299444
2014-01-15,49.0,50.0,48.5,48.5,331936
2014-01-16,48.0,49.75,47.75,48.75,259840
2014-01-17,47.25,48.75,47.0,48.25,177896
2014-01-20,47.25,48.0,47.25,47.5,50524
2014-01-21,46.5,46.5,46.25,46.5,204612
2014-01-22,48.0,48.5,46.75,46.75,899616
2014-01-23,48.5,49.75,47.5,47.75,404624
2014-01-24,47.5,49.0,46.75,48.75,198260
2014-01-27,47.25,48.5,47.0,47.5,229616
2014-01-28,48.75,49.25,47.75,48.0,281612
2014-01-29,47.75,48.5,46.75,48.25,399092
2014-01-30,48.5,49.0,47.5,47.75,209396
2014-01-31,48.75,49.0,47.5,47.75,196096
2014-02-03,47.25,48.75,46.75,48.25,216444
2014-02-04,48.0,48.5,46.75,47.5,159736
2014-02-05,47.5,48.75,47.25,48.0,213076
2014-02-06,48.5,49.75,47.5,48.0,320904
2014-02-07,49.0,49.75,47.75,48.75,367896
2014-02-10,48.5,49.25,48.25,48.75,735360
2014-02-11,49.0,49.75,48.5,49.0,293216
2014-02-12,48.25,49.5,48.0,49.25,360468
2014-02-13,46.5,48.25,46.25,48.0,354144
2014-02-14,46.25,47.25,45.75,47.0,216576
2014-02-17,47.0,48.5,46.25,46.75,325816
2014-02-18,44.5,47.0,44.25,47.0,503872
2014-02-19,44.0,44.75,42.75,44.25,551360
2014-02-20,43.0,43.5,42.25,43.5,383372
2014-02-21,42.25,43.75,42.0,43.25,440480
2014-02-24,43.0,43.75,41.5,42.0,227456
2014-02-25,42.0,43.0,41.75,42.75,136396
2014-02-26,41.25,43.0,41.0,42.25,156736
2014-02-27,44.75,45.0,41.25,41.75,386220
2014-02-28,42.75,46.25,42.5,45.25,313736
2014-03-05,40.75,43.25,40.5,43.0,257188
2014-03-06,41.0,42.5,41.0,41.25,194076
2014-03-07,40.0,42.0,39.25,41.25,310536
2014-03-10,38.0,40.0,37.75,40.0,241360
2014-03-11,37.25,39.0,37.0,38.5,219724
2014-03-12,36.75,37.5,36.75,36.75,195008
2014-03-13,36.5,37.5,36.0,37.0,162644
2014-03-14,36.5,37.0,35.75,36.25,128236
2014-03-17,35.25,37.0,35.0,36.5,215472
2014-03-18,37.25,37.5,35.0,35.5,238652
2014-03-19,37.75,38.0,36.5,37.0,338104
2014-03-20,40.0,41.0,37.0,37.5,437784
2014-03-21,40.0,40.75,39.0,39.75,241560
2014-03-24,41.0,41.25,39.25,40.5,141116
2014-03-25,40.25,41.25,40.0,40.75,249060
2014-03-26,38.25,40.5,38.25,40.5,266868
2014-03-27,41.25,42.25,38.5,38.5,468464
2014-03-28,44.0,44.0,41.75,42.0,361756
2014-03-31,45.25,45.75,44.25,44.25,271016
2014-04-01,45.75,46.75,44.5,46.0,304896
2014-04-02,46.25,47.75,45.75,46.0,291488
2014-04-03,44.0,46.5,44.0,46.5,306340
2014-04-04,44.0,45.5,42.25,44.75,450952
2014-04-07,44.5,45.5,43.25,45.0,283432
2014-04-08,45.0,45.75,44.0,45.0,310448
2014-04-09,43.0,44.75,42.25,44.25,331892
2014-04-10,40.75,43.5,40.5,42.5,328444
2014-04-11,40.25,41.0,39.5,40.25,241768
2014-04-14,40.25,40.5,39.5,40.0,112276
2014-04-15,38.75,40.5,38.25,40.0,257292
2014-04-16,39.5,39.75,38.5,39.0,213204
2014-04-17,39.25,39.75,38.25,39.5,155072
2014-04-22,39.25,40.0,38.25,39.5,231032
2014-04-23,40.75,41.25,39.0,39.0,370388
2014-04-24,42.25,42.75,40.25,41.0,374880
2014-04-25,39.5,42.5,39.0,41.75,481700
2014-04-28,38.25,39.25,37.5,39.25,296944
2014-04-29,39.25,41.0,37.75,38.5,413628
2014-04-30,40.0,40.5,39.0,39.5,215572
2014-05-02,43.25,43.75,39.75,40.0,936748
2014-05-05,41.25,45.25,40.75,43.5,510804
2014-05-06,41.5,42.25,40.25,41.0,351900
2014-05-07,42.5,42.75,40.75,41.0,240660
2014-05-08,42.75,43.25,42.0,42.25,111220
2014-05-09,44.25,44.25,42.0,42.75,272212
2014-05-12,44.0,45.0,43.75,44.25,159488
2014-05-13,43.5,44.25,43.25,44.25,77748
2014-05-14,44.5,45.0,42.5,43.5,195988
2014-05-15,43.75,46.25,43.75,45.5,219888
2014-05-16,43.5,44.5,43.25,43.5,85200
2014-05-19,43.25,43.5,42.5,43.0,57204
2014-05-20,42.75,43.75,41.75,43.5,93164
2014-05-21,41.5,43.0,41.5,42.75,187840
2014-05-22,42.0,42.25,41.25,41.75,164916
2014-05-23,41.0,42.0,40.75,42.0,99844
2014-05-26,40.75,41.75,40.75,41.0,123940
2014-05-27,39.5,41.75,39.0,41.0,260996
2014-05-28,40.5,41.25,39.5,39.75,158936
2014-05-29,41.5,42.0,40.25,40.75,246524
2014-05-30,40.5,41.5,39.75,41.25,152648
2014-06-02,39.75,41.25,39.5,41.0,126940
2014-06-03,39.75,40.0,39.25,39.75,81968
2014-06-04,40.75,41.25,39.5,39.75,146240
2014-06-05,40.75,41.25,40.25,41.25,86660
2014-06-06,42.0,42.5,41.5,41.75,118924
2014-06-09,42.75,43.25,41.75,42.0,123504
2014-06-10,42.75,43.25,42.5,43.0,61464
2014-06-11,43.0,43.25,42.75,43.25,134988
2014-06-13,42.5,43.0,42.25,42.75,36076
2014-06-16,42.0,42.75,41.5,42.5,153816
2014-06-17,41.5,42.0,41.25,41.75,109356
2014-06-18,42.25,42.5,41.0,41.75,103216
2014-06-20,41.0,42.25,40.75,42.0,201696
2014-06-23,40.75,41.25,40.75,41.25,20276
2014-06-24,40.5,42.0,40.25,40.75,98184
2014-06-25,41.25,41.75,40.25,40.75,136364
2014-06-26,41.5,41.75,41.0,41.5,45316
2014-06-27,42.75,43.0,41.25,41.75,146324
2014-06-30,43.25,43.25,42.5,42.75,119896
2014-07-01,42.0,43.5,41.75,43.25,132396
2014-07-02,41.0,42.5,40.75,42.5,101264
2014-07-03,40.75,41.25,40.75,41.0,91344
2014-07-04,40.75,41.25,40.25,41.0,61552
2014-07-07,40.75,41.25,40.25,40.75,61172
2014-07-08,40.75,41.0,40.0,40.75,43824
2014-07-10,40.5,41.25,40.5,41.25,149884
