Ticker_Nao_Encontrado,Erro
AEDU3,Sem dados ou possivelmente delistado
ALLL3,Sem dados ou possivelmente delistado
BISA3,Sem dados ou possivelmente delistado
BRML3,Sem dados ou possivelmente delistado
BRPR3,Sem dados ou possivelmente delistado
BTOW3,Sem dados ou possivelmente delistado
BVMF3,Sem dados ou possivelmente delistado
CESP6,Sem dados ou possivelmente delistado
CIEL3,Sem dados ou possivelmente delistado
CRUZ3,Sem dados ou possivelmente delistado
CTIP3,Sem dados ou possivelmente delistado
DTEX3,Sem dados ou possivelmente delistado
ELPL4,Sem dados ou possivelmente delistado
ENBR3,Sem dados ou possivelmente delistado
FIBR3,Sem dados ou possivelmente delistado
HGTX3,Sem dados ou possivelmente delistado
KROT3,Sem dados ou possivelmente delistado
LAME4,Sem dados ou possivelmente delistado
LLXL3,Sem dados ou possivelmente delistado
MMXM3,Sem dados ou possivelmente delistado
NATU3,Sem dados ou possivelmente delistado
PCAR4,Sem dados ou possivelmente delistado
SUZB5,Sem dados ou possivelmente delistado
TIMP3,Sem dados ou possivelmente delistado
TRPL4,Sem dados ou possivelmente delistado
VAGR3,Sem dados ou possivelmente delistado
VALE5,Sem dados ou possivelmente delistado
VIVT4,Sem dados ou possivelmente delistado
ESTC3,Sem dados ou possivelmente delistado
TBLE3,Sem dados ou possivelmente delistado
SMLE3,Sem dados ou possivelmente delistado
RUMO3,Sem dados ou possivelmente delistado
SMLS3,Sem dados ou possivelmente delistado
IGTA3,Sem dados ou possivelmente delistado
VVAR11,Sem dados ou possivelmente delistado
BRDT3,Sem dados ou possivelmente delistado
VVAR3,Sem dados ou possivelmente delistado
GNDI3,Sem dados ou possivelmente delistado
SULA11,Sem dados ou possivelmente delistado
LCAM3,Sem dados ou possivelmente delistado
BIDI11,Sem dados ou possivelmente delistado
VIIA3,Sem dados ou possivelmente delistado
BIDI4,Sem dados ou possivelmente delistado
RRRP3,Sem dados ou possivelmente delistado
SOMA3,Sem dados ou possivelmente delistado
ARZZ3,Sem dados ou possivelmente delistado
ALSO3,Sem dados ou possivelmente delistado
ALE3,Sem dados ou possivelmente delistado
